Source File,ENTITY1,RELATIONSHIP_NAME,ENTITY2,FOREIGN_KEY,REFERENCED_KEY,CARDINALITY_RULE,RELATIONSHIP_LINK,CARDINALITY_RULE_DESCRIPTION,,,,,,
Logical_07010_Customer Information_Extended View.csv,AnonymousAttributeValue,defines type of,AttributeType,AnonymousAttributeValue.AttributeTypeID,AttributeType.AttributeTypeID,many-to-one,AnonymousAttributeValue->defines type of->AttributeType,AnonymousAttributeValue->many-to-one->AttributeType,,,,,,
Logical_07010_Customer Information_Extended View.csv,AnonymousAttributeValue,is described by,AttributeValue,AnonymousAttributeValue.AttributeValueID,AttributeValue.AttributeValueID,many-to-one,AnonymousAttributeValue->is described by->AttributeValue,AnonymousAttributeValue->many-to-one->AttributeValue,,,,,,
Logical_10115_Enterprise Business Unit Groups Hierarchy.csv,AssociatedBusinessUnitGroup,is child,BusinessUnitGroup,AssociatedBusinessUnitGroup.ChildBusinessUnitGroupID,BusinessUnitGroup.BusinessUnitGroupID,many-to-one,AssociatedBusinessUnitGroup->is child->BusinessUnitGroup,AssociatedBusinessUnitGroup->many-to-one->BusinessUnitGroup,,,,,,
Logical_10115_Enterprise Business Unit Groups Hierarchy.csv,AssociatedBusinessUnitGroup,is parent,BusinessUnitGroup,AssociatedBusinessUnitGroup.ParentBusinessUnitGroupID,BusinessUnitGroup.BusinessUnitGroupID,many-to-one,AssociatedBusinessUnitGroup->is parent->BusinessUnitGroup,AssociatedBusinessUnitGroup->many-to-one->BusinessUnitGroup,,,,,,
Logical_10115_Enterprise Business Unit Groups Hierarchy.csv,AssociatedBusinessUnitGroup,defines parent,BusinessUnitGroupLevel,AssociatedBusinessUnitGroup.ParentBusinessUnitGroupLevelID,BusinessUnitGroupLevel.BusinessUnitGroupLevelID,many-to-one,AssociatedBusinessUnitGroup->defines parent->BusinessUnitGroupLevel,AssociatedBusinessUnitGroup->many-to-one->BusinessUnitGroupLevel,,,,,,
Logical_03000_Reporting Macro View.csv,AssociatedCalendarPeriod,has_child,CalendarLevel,AssociatedCalendarPeriod.ParentCalendarLevelID,CalendarLevel.CalendarLevelID,many-to-one,AssociatedCalendarPeriod->has_child->CalendarLevel,AssociatedCalendarPeriod->many-to-one->CalendarLevel,,,,,,
Logical_02309_Retail Transaction Delivery.csv,AssociatedCustomerOrderLineItem,is child of,CustomerOrderLineItem,AssociatedCustomerOrderLineItem.ParentLineItemCustomerOrderID,CustomerOrderLineItem.CustomerOrderID,many-to-one,AssociatedCustomerOrderLineItem->is child of->CustomerOrderLineItem,AssociatedCustomerOrderLineItem->many-to-one->CustomerOrderLineItem,,,,,,
Logical_02309_Retail Transaction Delivery.csv,AssociatedCustomerOrderLineItem,is child of,CustomerOrderLineItem,AssociatedCustomerOrderLineItem.ParentLineItemCustomerOrderLineItemSequenceNumber,CustomerOrderLineItem.CustomerOrderLineItemSequenceNumber,many-to-one,AssociatedCustomerOrderLineItem->is child of->CustomerOrderLineItem,AssociatedCustomerOrderLineItem->many-to-one->CustomerOrderLineItem,,,,,,
Logical_07620_Customer Order Inventory Control View.csv,AssociatedCustomerOrderLineItem,is child of,CustomerOrderLineItem,"AssociatedCustomerOrderLineItem.CustomerOrderID,AssociatedCustomerOrderLineItem.ChildLineItemID","CustomerOrderLineItem.CustomerOrderID,CustomerOrderLineItem.CustomerOrderLineItemSequenceNumber",many-to-one,AssociatedCustomerOrderLineItem->is child of->CustomerOrderLineItem,AssociatedCustomerOrderLineItem->many-to-one->CustomerOrderLineItem,,,,,,
Logical_07620_Customer Order Inventory Control View.csv,AssociatedCustomerOrderLineItem,is parent,CustomerOrderLineItem,"AssociatedCustomerOrderLineItem.CustomerOrderID,AssociatedCustomerOrderLineItem.ParentLineItemID","CustomerOrderLineItem.CustomerOrderID,CustomerOrderLineItem.CustomerOrderLineItemSequenceNumber",many-to-one,AssociatedCustomerOrderLineItem->is parent->CustomerOrderLineItem,AssociatedCustomerOrderLineItem->many-to-one->CustomerOrderLineItem,,,,,,
Logical_02316_Distributed Order Management View.csv,AssociatedCustomerOrderLineItem,is a,Type,AssociatedCustomerOrderLineItem.AssociationTypeCode,Type.TypeCode,many-to-one,AssociatedCustomerOrderLineItem->is a->Type,AssociatedCustomerOrderLineItem->many-to-one->Type,,,,,,
Logical_06400_Store Equipment View.csv,AssociatedEquipment,has components,Equipment,AssociatedEquipment.ComponentEquipmentID,Equipment.EquipmentID,many-to-one,AssociatedEquipment->has components->Equipment,AssociatedEquipment->many-to-one->Equipment,,,,,,
Logical_06400_Store Equipment View.csv,AssociatedEquipment,is housed,Workstation,AssociatedEquipment.WorkstationID,Workstation.WorkstationID,many-to-one,AssociatedEquipment->is housed->Workstation,AssociatedEquipment->many-to-one->Workstation,,,,,,
Logical_10108_Enterprise Physical Locations View.csv,AssociatedGeographicSegmentHierarchyGroup,is a child of,AssociatedGeographicSegmentHierarchyGroup,AssociatedGeographicSegmentHierarchyGroup.ParentGeographicSegmentHierarchyGroupID,AssociatedGeographicSegmentHierarchyGroup.AssociatedGeographicSegmentHierarchyGroupID,zero-or-one-to-many,AssociatedGeographicSegmentHierarchyGroup->is a child of->AssociatedGeographicSegmentHierarchyGroup,AssociatedGeographicSegmentHierarchyGroup->zero-or-one-to-zero-or-more->AssociatedGeographicSegmentHierarchyGroup,,,,,,
Logical_05100_Taxation Rule View.csv,AssociatedGeographicSegmentHierarchyGroup,aggregates,GeographicalSegmentStatisticsArea,GeographicalSegmentStatisticsArea.GeographicSegmentHierarchyGroupID,AssociatedGeographicSegmentHierarchyGroup.GeographicSegmentHierarchyGroupID,one-to-many,AssociatedGeographicSegmentHierarchyGroup->aggregates->GeographicalSegmentStatisticsArea,AssociatedGeographicSegmentHierarchyGroup->one-to-many->GeographicalSegmentStatisticsArea,,,,,,
Logical_10108_Enterprise Physical Locations View.csv,AssociatedGeographicSegmentHierarchyGroup,defines aggregation group for,GeographicSegmentClassifier,GeographicSegmentClassifier.GeographicSegmentHierarchyGroupID,AssociatedGeographicSegmentHierarchyGroup.AssociatedGeographicSegmentHierarchyGroupID,one-to-many,AssociatedGeographicSegmentHierarchyGroup->defines aggregation group for->GeographicSegmentClassifier,AssociatedGeographicSegmentHierarchyGroup->one-to-zero-or-more->GeographicSegmentClassifier,,,,,,
Logical_10108_Enterprise Physical Locations View.csv,AssociatedGeographicSegmentHierarchyGroup,defines lives for,GeographicSegmentHierarchyLevel,"AssociatedGeographicSegmentHierarchyGroup.GeographicSegmentHierarchyLevelNumber,AssociatedGeographicSegmentHierarchyGroup.GeographicSegmentHierarchyID","GeographicSegmentHierarchyLevel.HierarchyLevelNumber,GeographicSegmentHierarchyLevel.GeographicSegmentHierarchyID",many-to-one,AssociatedGeographicSegmentHierarchyGroup->defines lives for->GeographicSegmentHierarchyLevel,AssociatedGeographicSegmentHierarchyGroup->many-to-one->GeographicSegmentHierarchyLevel,,,,,,
Logical_10108_Enterprise Physical Locations View.csv,AssociatedLocationHierarchyGroup,is nested in,AssociatedLocationHierarchyGroup,AssociatedLocationHierarchyGroup.Parent_AssociatedLocationHierarchyGroupID,AssociatedLocationHierarchyGroup.AssociatedLocationHierarchyGroupID,zero-or-one-to-many,AssociatedLocationHierarchyGroup->is nested in->AssociatedLocationHierarchyGroup,AssociatedLocationHierarchyGroup->zero-or-one-to-zero-or-more->AssociatedLocationHierarchyGroup,,,,,,
Logical_10108_Enterprise Physical Locations View.csv,AssociatedLocationHierarchyGroup,defines level of,LocationHierarchyLevel,"AssociatedLocationHierarchyGroup.HierarchyLevelNumber,AssociatedLocationHierarchyGroup.LocationHierarchyID","LocationHierarchyLevel.HierarchyLevelNumber,LocationHierarchyLevel.LocationHierarchyID",many-to-one,AssociatedLocationHierarchyGroup->defines level of->LocationHierarchyLevel,AssociatedLocationHierarchyGroup->many-to-one->LocationHierarchyLevel,,,,,,
Logical_01015_Item Description Apparel.csv,AssociatedMerchandiseHierarchyGroup,is activity of,AssociatedMerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup.unknown_fk_attribute,AssociatedMerchandiseHierarchyGroup.AssociatedMerchandiseHierarchyGroupID,zero-or-one-to-zero-or-many,AssociatedMerchandiseHierarchyGroup->is activity of->AssociatedMerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup->zero-or-one-to-zero-or-many->AssociatedMerchandiseHierarchyGroup,,,,,,
Logical_01040_Item Description Rental View.csv,AssociatedMerchandiseHierarchyGroup,is summed into,AssociatedMerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup.ParentAssociatedMerchandiseHierarchyGroupID,AssociatedMerchandiseHierarchyGroup.AssociatedMerchandiseHierarchyGroupID,many-to-zero-or-one,AssociatedMerchandiseHierarchyGroup->is summed into->AssociatedMerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup->many-to-zero-or-one->AssociatedMerchandiseHierarchyGroup,,,,,,
Logical_07040 - Customer Segment Dependent Behavior.csv,AssociatedMerchandiseHierarchyGroup,celebrates,Date,AssociatedMerchandiseHierarchyGroup.EffectiveDate,Date.DateID,many-to-one,AssociatedMerchandiseHierarchyGroup->celebrates->Date,AssociatedMerchandiseHierarchyGroup->many-to-one->Date,,,,,,
Logical_01040_Item Description Rental View.csv,AssociatedMerchandiseHierarchyGroup,defines,MerchandiseHierarchyFunction,AssociatedMerchandiseHierarchyGroup.MerchandiseHierarchyFunctionID,MerchandiseHierarchyFunction.MerchandiseHierarchyFunctionID,many-to-one,AssociatedMerchandiseHierarchyGroup->defines->MerchandiseHierarchyFunction,AssociatedMerchandiseHierarchyGroup->many-to-one->MerchandiseHierarchyFunction,,,,,,
Logical_01040_Item Description Rental View.csv,AssociatedMerchandiseHierarchyGroup,defines,MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup.ParentMerchandiseHierarchyGroupID,MerchandiseHierarchyGroup.MerchandiseHierarchyGroupID,many-to-one,AssociatedMerchandiseHierarchyGroup->defines->MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup->many-to-one->MerchandiseHierarchyGroup,,,,,,
Logical_03200_Reporting Item Sales View.csv,AssociatedMerchandiseHierarchyGroup,is a summary of,MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup.ChildMerchandiseHierarchyGroupID,MerchandiseHierarchyGroup.MerchandiseHierarchyGroupID,many-to-one,AssociatedMerchandiseHierarchyGroup->is a summary of->MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup->many-to-one->MerchandiseHierarchyGroup,,,,,,
Logical_07010_Customer Information_Extended View.csv,AssociatedMerchandiseHierarchyGroup,defines parent,MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup.ParentMerchandiseHierarchyGroupID,MerchandiseHierarchyGroup.MerchandiseHierarchyGroupID,many-to-one,AssociatedMerchandiseHierarchyGroup->defines parent->MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup->many-to-one->MerchandiseHierarchyGroup,,,,,,
Logical_07010_Customer Information_Extended View.csv,AssociatedMerchandiseHierarchyGroup,defines child,MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup.ChildMerchandiseHierarchyGroupID,MerchandiseHierarchyGroup.MerchandiseHierarchyGroupID,many-to-one,AssociatedMerchandiseHierarchyGroup->defines child->MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup->many-to-one->MerchandiseHierarchyGroup,,,,,,
Logical_07040 - Customer Segment Dependent Behavior.csv,AssociatedMerchandiseHierarchyGroup,has child,MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup.ChildMerchandiseHierarchyGroupID,MerchandiseHierarchyGroup.MerchandiseHierarchyGroupID,many-to-one,AssociatedMerchandiseHierarchyGroup->has child->MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup->many-to-one->MerchandiseHierarchyGroup,,,,,,
Logical_07040 - Customer Segment Dependent Behavior.csv,AssociatedMerchandiseHierarchyGroup,has parent,MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup.ParentMerchandiseHierarchyGroupID,MerchandiseHierarchyGroup.MerchandiseHierarchyGroupID,many-to-one,AssociatedMerchandiseHierarchyGroup->has parent->MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup->many-to-one->MerchandiseHierarchyGroup,,,,,,
Logical_10200_Enterprise Merchandise View.csv,AssociatedMerchandiseHierarchyGroup,is a summary of,MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup.ChildMerchandiseHierarchyGroupID,MerchandiseHierarchyGroup.MerchandiseHierarchyGroupID,many-to-one,AssociatedMerchandiseHierarchyGroup->is a summary of->MerchandiseHierarchyGroup,AssociatedMerchandiseHierarchyGroup->many-to-one->MerchandiseHierarchyGroup,,,,,,
Logical_01040_Item Description Rental View.csv,AssociatedMerchandiseHierarchyGroup,defines,MerchandiseHierarchyLevel,AssociatedMerchandiseHierarchyGroup.ChildMerchandiseHierarchyLevelID,MerchandiseHierarchyLevel.MerchandiseHierarchyLevelID,many-to-one,AssociatedMerchandiseHierarchyGroup->defines->MerchandiseHierarchyLevel,AssociatedMerchandiseHierarchyGroup->many-to-one->MerchandiseHierarchyLevel,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,AttributeType,defines type of,AnonymousAttributeValue,AnonymousAttributeValue.AttributeTypeID,AttributeType.AttributeTypeID,one-to-zero-or-many,AttributeType->defines type of->AnonymousAttributeValue,AttributeType->one-to-zero-or-many->AnonymousAttributeValue,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,AttributeType,is enumerated by,AttributeValueList,AttributeValueList.AttributeTypeID,AttributeType.AttributeTypeID,one-to-zero-or-many,AttributeType->is enumerated by->AttributeValueList,AttributeType->one-to-zero-or-many->AttributeValueList,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,AttributeType,defines type of,CustomerAttributeValue,CustomerAttributeValue.AttributeTypeID,AttributeType.AttributeTypeID,one-to-zero-or-many,AttributeType->defines type of->CustomerAttributeValue,AttributeType->one-to-zero-or-many->CustomerAttributeValue,,,,,,
Logical_07010_Customer Information_Extended View.csv,AttributeType,defines type of,EntityType,AttributeType.EntityTypeID,EntityType.EntityTypeID,many-to-one,AttributeType->defines type of->EntityType,AttributeType->many-to-one->EntityType,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,AttributeType,defines type of,HouseholdAttributeValue,HouseholdAttributeValue.AttributeTypeID,AttributeType.AttributeTypeID,one-to-zero-or-many,AttributeType->defines type of->HouseholdAttributeValue,AttributeType->one-to-zero-or-many->HouseholdAttributeValue,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,AttributeType,defines type of,OrganizationAttributeValue,OrganizationAttributeValue.AttributeTypeID,AttributeType.AttributeTypeID,one-to-zero-or-many,AttributeType->defines type of->OrganizationAttributeValue,AttributeType->one-to-zero-or-many->OrganizationAttributeValue,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,AttributeType,defines type of,PersonAttributeValue,PersonAttributeValue.AttributeTypeID,AttributeType.AttributeTypeID,one-to-zero-or-many,AttributeType->defines type of->PersonAttributeValue,AttributeType->one-to-zero-or-many->PersonAttributeValue,,,,,,
Logical_07010_Customer Information_Extended View.csv,AttributeValue,assumes,AttributeType,AttributeValue.AttributeTypeID,AttributeType.AttributeTypeID,many-to-one,AttributeValue->assumes->AttributeType,AttributeValue->many-to-one->AttributeType,,,,,,
Logical_07010_Customer Information_Extended View.csv,AttributeValue,is enumerated by,AttributeValueList,AttributeValue.AttributeValueListID,AttributeValueList.AttributeValueListID,many-to-one,AttributeValue->is enumerated by->AttributeValueList,AttributeValue->many-to-one->AttributeValueList,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,AttributeValueList,has attribute value,CustomerAttributeValue,CustomerAttributeValue.AttributeTypeID,AttributeValueList.AttributeTypeID,one-to-zero-or-many,AttributeValueList->has attribute value->CustomerAttributeValue,AttributeValueList->one-to-zero-or-many->CustomerAttributeValue,,,,,,
Logical_07010_Customer Information_Extended View.csv,BiometricDataType,classes,BiometricEncodingMethodType,CustomerAttributeValue.AttributeTypeID,BiometricEncodingMethodType.BiometricEncodingMethodTypeCode,many-to-one,BiometricDataType->classes->BiometricEncodingMethodType,BiometricDataType->many-to-one->BiometricEncodingMethodType,,,,,,
Logical_06310_Party Role View.csv,BiometricDataType,classifies,BiometricInformationRecord,BiometricInformationRecord.BiometricDataTypeID,BiometricDataType.BiometricDataTypeID,one-to-many,BiometricDataType->classifies->BiometricInformationRecord,BiometricDataType->one-to-many->BiometricInformationRecord,,,,,,
Logical_06330_Party Identification View.csv,BiometricDataType,classifies,BiometricInformationRecord,BiometricInformationRecord.BiometricDataTypeID,BiometricDataType.BiometricDataTypeID,one-to-many,BiometricDataType->classifies->BiometricInformationRecord,BiometricDataType->one-to-many->BiometricInformationRecord,,,,,,
Logical_06330_Party Identification View.csv,BiometricEncodingMethodType,classifies,BiometricInformationRecord,BiometricInformationRecord.BiometricEncodingMethodTypeCode,BiometricEncodingMethodType.BiometricEncodingMethodTypeCode,one-to-many,BiometricEncodingMethodType->classifies->BiometricInformationRecord,BiometricEncodingMethodType->one-to-many->BiometricInformationRecord,,,,,,
Logical_06315_Party Person Names View.csv,BiometricInformationRecord,classes,BiometricDataType,BiometricInformationRecord.BiometricDataTypeID,BiometricDataType.BiometricDataTypeID,many-to-one,BiometricInformationRecord->classes->BiometricDataType,BiometricInformationRecord->many-to-one->BiometricDataType,,,,,,
Logical_07010_Customer Information_Extended View.csv,BiometricInformationRecord,is physiologically described by,BiometricDataType,BiometricInformationRecord.BiometricDataTypeID,BiometricDataType.BiometricDataTypeID,many-to-one,BiometricInformationRecord->is physiologically described by->BiometricDataType,BiometricInformationRecord->many-to-one->BiometricDataType,,,,,,
Logical_06315_Party Person Names View.csv,BiometricInformationRecord,classes,BiometricEncodingMethodType,BiometricInformationRecord.BiometricEncodingMethodTypeCode,BiometricEncodingMethodType.BiometricEncodingMethodTypeCode,many-to-one,BiometricInformationRecord->classes->BiometricEncodingMethodType,BiometricInformationRecord->many-to-one->BiometricEncodingMethodType,,,,,,
Logical_07010_Customer Information_Extended View.csv,BiometricInformationRecord,classes,BiometricEncodingMethodType,BiometricInformationRecord.BiometricEncodingMethodTypeCode,BiometricEncodingMethodType.BiometricEncodingMethodTypeCode,many-to-one,BiometricInformationRecord->classes->BiometricEncodingMethodType,BiometricInformationRecord->many-to-one->BiometricEncodingMethodType,,,,,,
Logical_06310_Party Role View.csv,BiometricInformationRecord,is physiologically surfed by,Party,BiometricInformationRecord.PartyID,Party.PartyID,many-to-one,BiometricInformationRecord->is physiologically surfed by->Party,BiometricInformationRecord->many-to-one->Party,,,,,,
Logical_20000_Forecourt Macro View.csv,Blender,is connected to,Nozzle,"Blender.RetailStoreID,Blender.FuelingPointID,Blender.NozzleID","Nozzle.RetailStoreID,Nozzle.FuelingPointID,Nozzle.NozzleID",many-to-one,Blender->is connected to->Nozzle,Blender->many-to-one->Nozzle,,,,,,
Logical_20040_Forecourt History View.csv,Blender,is connected to,Nozzle,"Blender.RetailStoreID,Blender.FuelingPointID,Blender.NozzleID","Nozzle.RetailStoreID,Nozzle.FuelingPointID,Nozzle.NozzleID",many-to-one,Blender->is connected to->Nozzle,Blender->many-to-one->Nozzle,,,,,,
Logical_20040_Forecourt History View.csv,Blender,records,StockMeter,"Blender.RetailStoreID,Blender.StockMeterID","StockMeter.RetailStoreID,StockMeter.StockMeterID",many-to-one,Blender->records->StockMeter,Blender->many-to-one->StockMeter,,,,,,
Logical_20000_Forecourt Macro View.csv,Blender,stores fuel for / takes fuel from,Tank,Blender.TankID,Tank.TankID,many-to-one,Blender->stores fuel for / takes fuel from->Tank,Blender->many-to-one->Tank,,,,,,
Logical_01004_Item Description Branding.csv,Brand,describes,Item,Item.BrandName,Brand.BrandName,zero-to-many,Brand->describes->Item,Brand->zero-to-many->Item,,,,,,
Logical_01004_Item Description Branding.csv,Brand,is produced by,ManufacturerBrand,ManufacturerBrand.BrandName,Brand.BrandName,zero-to-many,Brand->is produced by->ManufacturerBrand,Brand->zero-to-many->ManufacturerBrand,,,,,,
Logical_02333_Retail Transaction Tender Coupon View.csv,Brand,is produced by,ManufacturerBrand,ManufacturerBrand.BrandName,Brand.BrandName,one-to-many,Brand->is produced by->ManufacturerBrand,Brand->one-to-many->ManufacturerBrand,,,,,,
Logical_07040 - Customer Segment Dependent Behavior.csv,Brand,owned by,PartyRoleAssignment,Brand.OwningPartyID,PartyRoleAssignment.PartyRoleAssignmentID,many-to-one,Brand->owned by->PartyRoleAssignment,Brand->many-to-one->PartyRoleAssignment,,,,,,
Logical_01120_Item Selling Rules Manufacturer Coupons.csv,Brand,describes,POSIdentity,unknown,unknown,one-to-many,Brand->describes->POSIdentity,Brand->one-to-many->POSIdentity,,,,,,
Logical_01000_Item Description Macro.csv,Brand,includes / is included in,SubBrand,SubBrand.BrandName,Brand.BrandName,one-to-zero-or-many,Brand->includes / is included in->SubBrand,Brand->one-to-zero-or-many->SubBrand,,,,,,
Logical_01004_Item Description Branding.csv,Brand,includes / is included in,SubBrand,SubBrand.BrandName,Brand.BrandName,zero-to-many,Brand->includes / is included in->SubBrand,Brand->zero-to-many->SubBrand,,,,,,
Logical_07042_Customer Wallet Share.csv,BrandedTenderMedia,is promoted as,Tender,BrandedTenderMedia.TenderTypeCode,Tender.TenderTypeCode,many-to-one,BrandedTenderMedia->is promoted as->Tender,BrandedTenderMedia->many-to-one->Tender,,,,,,
Logical_07042_Customer Wallet Share.csv,BrandedTenderMedia,identifies branded tender for,TenderMediaCoSponsor,BrandedTenderMedia.TenderMediaCoSponsorID,TenderMediaCoSponsor.TenderMediaCoSponsorID,many-to-one,BrandedTenderMedia->identifies branded tender for->TenderMediaCoSponsor,BrandedTenderMedia->many-to-one->TenderMediaCoSponsor,,,,,,
