r,start_labels,end_labels
[:IS_A],[InboundDelivery],[ProcurementAndLogistics]
[:IS_A],[PricingEvent],[SellEvents]
[:IS_A],[PricingThreshold],[PriceConcept]
[:IS_A],[TargetAudience],[MarketingAndPromotion]
[:IS_A],[DeliveryScheduledEvent],[FulfillmentEvent]
[:IS_A],[AddToCartEvent],[CustomerInteractionEvent]
[:IS_A],[InventoryLevel],[MerchandisePlanning]
[:IS_A],[PromotionRule],[MarketingAndPromotion]
[:IS_A],[SubstitutionEvent],[SellEvent]
[:IS_A],[SubstitutionEvent],[SellEvents]
[:IS_A],[ChannelRule],[ValidationRules]
[:IS_A],[SalesEvent],[SellEvents]
[:IS_A],[LeadTime],[ProcurementAndLogistics]
[:IS_A],[PurchaseOrderLine],[PurchaseOrder]
[:IS_A],[ShipmentDispatchedEvent],[FulfillmentEvent]
[:IS_A],[DailyStoreOperations],[StoreOps]
[:IS_A],[OrderPlacedEvent],[OrderEvent]
[:IS_A],[PriceList],[Price]
[:IS_A],[Promotion],[MarketingAndPromotion]
[:IS_A],[ExchangeDetails],[ReturnsAndExchanges]
[:IS_A],[Department],[MerchandiseEntity]
[:IS_A],[ReceivingLine],[Receiving]
[:IS_A],[StoreOpeningClosing],[StoreOps]
[:IS_A],[CustomerServiceRep],[Persona]
[:IS_A],[PhysicalStoreChannel],[Channel]
[:IS_A],[ClickAndCollectPickedUpEvent],[FulfillmentEvent]
[:IS_A],[ProductViewedEvent],[CustomerInteractionEvent]
[:IS_A],[ForecastAccuracy],[DemandForecasting]
[:IS_A],[FulfillmentLocation],[OrderFulfillment]
[:IS_A],[Material],[ProductCharacteristics]
[:IS_A],[ComplexPackProduct],[Product]
[:IS_A],[CompetitorPriceComparison],[MarketingAnalysis]
[:IS_A],[PreOrderTransaction],[SalesTransaction]
[:IS_A],[InboundShipment],[ProcurementAndLogistics]
[:IS_A],[SaleCompletedEvent],[SalesEvent]
[:IS_A],[Assignment],[OrganizationalHierarchy]
[:IS_A],[ProductInquiry],[CustomerInteraction]
[:IS_A],[DeliveryTerm],[CommercialTerms]
[:IS_A],[SupplierCostChange],[Supplier]
[:IS_A],[FulfillmentEvent],[SellEvents]
[:IS_A],[Size],[ProductCharacteristics]
[:IS_A],[OrderPacking],[OrderFulfillment]
[:IS_A],[SalesTransactionLine],[TransactionLine]
[:IS_A],[OrderValidatedEvent],[OrderEvent]
[:IS_A],[FinancialPlanVariance],[MerchandiseFinancialPlan]
[:IS_A],[CustomerFeedback],[CustomerExperience]
[:IS_A],[ExchangeOrder],[Order]
[:IS_A],[Campaign],[MarketingAndPromotion]
[:IS_A],[BuyerGroup],[OrganizationalHierarchy]
[:IS_A],[InventoryThreshold],[MerchandisePlanning]
[:IS_A],[SalesAssociate],[Persona]
[:IS_A],[ProcurementAndLogistics],[ForecastingProcurementLogistics]
[:IS_A],[Receipt],[ProcurementAndLogistics]
[:IS_A],[MerchandiseEntity],[MerchandiseHierarchy]
[:IS_A],[Cost],[Price]
[:IS_A],[Style],[ProductCharacteristics]
[:IS_A],[ItemScannedEvent],[SalesEvent]
[:IS_A],[Season],[ProductLifeCycle]
[:IS_A],[ReturnExchangeEvent],[SellEvents]
[:IS_A],[ForecastAdjustment],[DemandForecasting]
[:IS_A],[FiscalPeriod],[PlanningCalendar]
[:IS_A],[Brand],[ProductCharacteristics]
[:IS_A],[Planogram],[MerchandisePlanning]
[:IS_A],[TransformableProduct],[Product]
[:IS_A],[ItemReceivedBackEvent],[ReturnExchangeEvent]
[:IS_A],[OrderCancelledEvent],[OrderEvent]
[:IS_A],[Budget],[MerchandiseFinancialPlan]
[:IS_A],[POSRestartedEvent],[StoreOpsEvent]
[:IS_A],[ASN],[ProcurementAndLogistics]
[:IS_A],[Cashier],[Persona]
[:IS_A],[UnitOfMeasure],[Price]
[:IS_A],[LoyaltyPrice],[Price]
[:IS_A],[StockTurn],[MerchandisingAnalysis]
[:IS_A],[FulfillmentTeamMember],[Persona]
[:IS_A],[Forecast],[DemandForecasting]
[:IS_A],[ManualCostChange],[SupplierCostChange]
[:IS_A],[Week],[PlanningCalendar]
[:IS_A],[CustomerLoginEvent],[CustomerInteractionEvent]
[:IS_A],[PriceChange],[Price]
[:IS_A],[CompetitorPrice],[Price]
[:IS_A],[ProductLifeCycle],[ProductCharacteristics]
[:IS_A],[Customer],[CustomerProfile]
[:IS_A],[StoreFormat],[Store]
[:IS_A],[PromotionalPrice],[Price]
[:IS_A],[CartRule],[ValidationRules]
[:IS_A],[ForecastGranularity],[DemandForecasting]
[:IS_A],[SizeCurve],[MerchandisePlanning]
[:IS_A],[CustomerSocialInteraction],[CustomerInteraction]
[:IS_A],[POIssuedEvent],[BuyingEvent]
[:IS_A],[StoreOpsEvent],[SellEvents]
[:IS_A],[PricingRule],[ValidationRules]
[:IS_A],[ReturnReason],[ReturnsAndExchanges]
[:IS_A],[StoreManager],[Persona]
[:IS_A],[ReturnPolicy],[ValidationRules]
[:IS_A],[LoyaltyCustomer],[CustomerProfile]
[:IS_A],[PersonalityType],[CustomerProfile]
[:IS_A],[ReceiptLine],[Receipt]
[:IS_A],[Spend],[MerchandiseFinancialPlan]
[:IS_A],[Carrier],[ProcurementAndLogistics]
[:IS_A],[OnlineChannel],[Channel]
[:IS_A],[CheckoutStartedEvent],[CheckoutEvent]
[:IS_A],[ProductPrice],[Price]
[:IS_A],[PromotionStartedEvent],[PricingEvent]
[:IS_A],[StaffScheduling],[StoreOps]
[:IS_A],[StoreTrafficRecord],[StoreOps]
[:IS_A],[AllocationPlan],[MerchandisePlanning]
[:IS_A],[InStoreSaleTransaction],[SalesTransaction]
[:IS_A],[Advertising],[MarketingAndPromotion]
[:IS_A],[Manufacturer],[Supplier]
[:IS_A],[ShippingRule],[ValidationRules]
[:IS_A],[OrderReleasedEvent],[OrderEvent]
[:IS_A],[CategoryManager],[Persona]
[:IS_A],[MultichannelCustomerSegment],[BehavioralSegment]
[:IS_A],[LoyaltyPointsEarnedEvent],[SalesEvent]
[:IS_A],[ForecastVariance],[DemandForecasting]
[:IS_A],[Division],[Store]
[:IS_A],[GrossMarginReturnOnInventory],[MerchandisingAnalysis]
[:IS_A],[Channel],[MerchandisePlanning]
[:IS_A],[StoreCluster],[MerchandisePlanning]
[:IS_A],[PaymentMethod],[Payment]
[:IS_A],[CampaignPerformance],[MarketingAnalysis]
[:IS_A],[TransactionInitiationEvent],[SalesEvent]
[:IS_A],[PageVisit],[CustomerInteractionEvent]
[:IS_A],[BuyingOffice],[OrganizationalHierarchy]
[:IS_A],[InvoiceLine],[Invoice]
[:IS_A],[MobileAppChannel],[Channel]
[:IS_A],[InboundTracking],[ProcurementAndLogistics]
[:IS_A],[DiscountAppliedEvent],[PricingEvent]
[:IS_A],[MarkdownPlan],[Price]
[:IS_A],[PriceChangedEvent],[PricingEvent]
[:IS_A],[Buyer],[OrganizationalHierarchy]
[:IS_A],[Offer],[MarketingAndPromotion]
[:IS_A],[SLA],[Supplier]
[:IS_A],[PaymentRule],[ValidationRules]
[:IS_A],[AssortmentPlan],[MerchandisePlanning]
[:IS_A],[SalesOrder],[Order]
[:IS_A],[CheckoutEvent],[SellEvents]
[:IS_A],[StoreOpenedEvent],[StoreOpsEvent]
[:IS_A],[DeliveredToCustomerEvent],[FulfillmentEvent]
[:IS_A],[FinancialPlanVersion],[MerchandiseFinancialPlan]
[:IS_A],[CustomerBehaviorAnalysis],[SalesAnalysis]
[:IS_A],[PaymentTerm],[CommercialTerms]
[:IS_A],[MarkdownAppliedEvent],[PricingEvent]
[:IS_A],[ClickAndCollectTransaction],[SalesTransaction]
[:IS_A],[OrderConfirmedEvent],[OrderEvent]
[:IS_A],[ClickAndCollectFulfillment],[OrderFulfillment]
[:IS_A],[PromotionDeactivatedEvent],[PricingEvent]
[:IS_A],[ReturnInitiatedEvent],[ReturnExchangeEvent]
[:IS_A],[ReceivingDocument],[Receiving]
[:IS_A],[LoyaltyPointsAppliedEvent],[SalesEvent]
[:IS_A],[ReturnOrder],[Order]
[:IS_A],[ShipmentCreatedEvent],[FulfillmentEvent]
[:IS_A],[OrderHeldEvent],[OrderEvent]
[:IS_A],[OnlineSaleTransaction],[SalesTransaction]
[:IS_A],[SupplierType],[SupplierClassification]
[:IS_A],[CustomerPreferences],[CustomerProfile]
[:IS_A],[BasketPattern],[MarketBasketAnalysis]
[:IS_A],[ForecastHorizon],[DemandForecasting]
[:IS_A],[OrderPickingStartedEvent],[FulfillmentEvent]
[:IS_A],[PromotionAnalysis],[SalesAnalysis]
[:IS_A],[ShippingOptionSelectedEvent],[CheckoutEvent]
[:IS_A],[Invoice],[ProcurementAndLogistics]
[:IS_A],[Role],[OrganizationalHierarchy]
[:IS_A],[SentimentScore],[CustomerExperience]
[:IS_A],[POApprovedEvent],[BuyingEvent]
[:IS_A],[ItemInductionEvent],[BuyingEvent]
[:IS_A],[OrderDelivery],[OrderFulfillment]
[:IS_A],[SupplierClassification],[Supplier]
[:IS_A],[Product],[SubCategory]
[:IS_A],[CustomerBrowsing],[CustomerInteraction]
[:IS_A],[CompetitorAnalysis],[MarketingAnalysis]
[:IS_A],[CustomerShipment],[OrderFulfillment]
[:IS_A],[MarketTrend],[MarketingAnalysis]
[:IS_A],[OpenToBuy],[MerchandisePlanning]
[:IS_A],[DemandForecasting],[ForecastingProcurementLogistics]
[:IS_A],[PlanningPeriod],[PlanningCalendar]
[:IS_A],[ClickAndCollectReadyEvent],[FulfillmentEvent]
[:IS_A],[ProductCharacteristics],[MerchandiseHierarchy]
[:IS_A],[MerchandisingAnalysis],[MarketingAnalytics]
[:IS_A],[MerchandiseFinancialPlan],[ForecastingProcurementLogistics]
[:IS_A],[SupplierTier],[SupplierClassification]
[:IS_A],[SalesPerformanceAnalysis],[SalesAnalysis]
[:IS_A],[LifecycleStage],[ProductLifeCycle]
[:IS_A],[CartAbandonmentEvent],[CustomerInteractionEvent]
[:IS_A],[BehavioralSegment],[CustomerSegment]
[:IS_A],[SearchInteraction],[CustomerInteractionEvent]
[:IS_A],[TillClosedEvent],[StoreOpsEvent]
[:IS_A],[ChurnAnalysis],[SalesAnalysis]
[:IS_A],[MerchandisePlanning],[ForecastingProcurementLogistics]
[:IS_A],[ChannelPrice],[Price]
[:IS_A],[EffectivePeriod],[Price]
[:IS_A],[SupplierEntity],[Supplier]
[:IS_A],[CallCenterChannel],[Channel]
[:IS_A],[TillOpenedEvent],[StoreOpsEvent]
[:IS_A],[BasketAnalysisResult],[MarketBasketAnalysis]
[:IS_A],[SubDepartment],[Department]
[:IS_A],[ReceiptGeneratedEvent],[SalesEvent]
[:IS_A],[ForecastMethod],[DemandForecasting]
[:IS_A],[EDICostChange],[SupplierCostChange]
[:IS_A],[CustomerDemographics],[CustomerProfile]
[:IS_A],[FinancialPlan],[MerchandiseFinancialPlan]
[:IS_A],[PersonalizedRecommendation],[CustomerInteraction]
[:IS_A],[CampaignInteraction],[CustomerInteraction]
[:IS_A],[ExchangeTransaction],[SalesTransaction]
[:IS_A],[CatchweightProduct],[Product]
[:IS_A],[StoreClosedEvent],[StoreOpsEvent]
[:IS_A],[PeakPeriod],[TimePeriodType]
[:IS_A],[Contract],[Supplier]
[:IS_A],[PriceStrategy],[PriceConcept]
[:IS_A],[PlanningCalendar],[ForecastingProcurementLogistics]
[:IS_A],[ProductBundle],[ProductPresentation]
[:IS_A],[CashierTillActivity],[StoreOps]
[:IS_A],[PlanningReactionEvent],[BuyingEvent]
[:IS_A],[Cluster],[MerchandisePlanning]
[:IS_A],[OrderPickedEvent],[FulfillmentEvent]
[:IS_A],[ProductInquiryEvent],[CustomerInteractionEvent]
[:IS_A],[MerchandisingPerformance],[MerchandisingAnalysis]
[:IS_A],[PriceRule],[Price]
[:IS_A],[SystemEvent],[SellEvents]
[:IS_A],[PriceGuide],[PriceConcept]
[:IS_A],[Inventory],[MerchandisePlanning]
[:IS_A],[LoyaltyRule],[ValidationRules]
[:IS_A],[OrderShipping],[OrderFulfillment]
[:IS_A],[CashDropEvent],[StoreOpsEvent]
[:IS_A],[Scenario],[ForecastingProcurementLogistics]
[:IS_A],[SeasonCode],[ProductLifeCycle]
[:IS_A],[OrderLine],[TransactionLine]
[:IS_A],[Assortment],[MerchandisePlanning]
[:IS_A],[SimplePackProduct],[Product]
[:IS_A],[ForecastVersion],[DemandForecasting]
[:IS_A],[StoreComplianceTask],[StoreOps]
[:IS_A],[BundlePrice],[ProductPresentation]
[:IS_A],[ChurnPredictionResult],[SalesAnalysis]
[:IS_A],[PurchaseOrder],[ProcurementAndLogistics]
[:IS_A],[SimulationPlan],[Scenario]
[:IS_A],[CustomerFeedbackSubmittedEvent],[CustomerInteractionEvent]
[:IS_A],[Category],[SubDepartment]
[:IS_A],[ForecastVarianceEvent],[BuyingEvent]
[:IS_A],[CustomerInteractionEvent],[SellEvents]
[:IS_A],[MarketBasketAnalysis],[MarketingAnalytics]
[:IS_A],[OrderStatusChangedEvent],[OrderEvent]
[:IS_A],[ExchangeInitiatedEvent],[ReturnExchangeEvent]
[:IS_A],[OrderRule],[ValidationRules]
[:IS_A],[ReturnTransaction],[SalesTransaction]
[:IS_A],[OrderPackedEvent],[FulfillmentEvent]
[:IS_A],[Receiving],[ProcurementAndLogistics]
